CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
DLTAB2457,BENITO JUAREZ,COACAJAPA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,RIO SAN FELIPE,LÓTICO (HUMEDAL),RÍO,18.01768,-93.6069
DLTAB2458,RIO ZANAPA 3,COACAJAPA,,,FRONTERA SUR,TABASCO,TABASCO,HUIMANGUILLO,RIO ZANAPA,LÓTICO (HUMEDAL),RÍO,17.95414,-93.78034
DLTAB2459,RIO ZANAPA 1,COACAJAPA,,,FRONTERA SUR,TABASCO,TABASCO,HUIMANGUILLO,RIO ZANAPA,LÓTICO,RÍO,17.9403,-93.88684
DLTAB2460,RIO ZANAPA 2,COACAJAPA,,,FRONTERA SUR,TABASCO,TABASCO,HUIMANGUILLO,RIO ZANAPA,LÓTICO (HUMEDAL),RÍO,17.92692,-93.73952
DLTAB2461,RIO TONALA 31,TONALÁ,,,GOLFO CENTRO,TABASCO,TABASCO,HUIMANGUILLO,RIO TONALA,LÓTICO (HUMEDAL),RÍO,18.04895,-94.07641
DLTAB2462,LA VENTA,TONALÁ,,,GOLFO CENTRO,TABASCO,TABASCO,HUIMANGUILLO,RIO TONALA,LÓTICO (HUMEDAL),RÍO,18.13448,-94.10062
DLTAB2463,RIO TONALA 6,TONALÁ,,,GOLFO CENTRO,TABASCO,TABASCO,HUIMANGUILLO,RIO TONALA,LÓTICO (HUMEDAL),RÍO,18.16713,-94.12627
DLTAB2464,RIO TONALA 7,TONALÁ,,,GOLFO CENTRO,TABASCO,TABASCO,CÁRDENAS,RIO TONALA,LÓTICO (HUMEDAL),RÍO,18.20692,-94.13147
DLTAB2465,EL BARI,TONALÁ,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,GOLFO DE MEXICO,COSTERO (HUMEDAL),OCÉANO-MAR,18.2434,-94.03219
DLTAB2466,BARRA DE TUPILCO,LAGUNA MACHONA,,,FRONTERA SUR,TABASCO,TABASCO,PARAÍSO,LAGUNA EL COCAL,COSTERO,LAGUNA,18.42714,-93.43009
DLTAB2467,SAPAET FRANCISCO I MADERO,,2704,CENTLA,FRONTERA SUR,TABASCO,TABASCO,PARAÍSO,ACUÍFERO CENTLA,SUBTERRÁNEO,POZO,18.33234,-93.2048
DLTAB2468,SAPAET MIGUEL HIDALGO,,2702,LA CHONTALPA,FRONTERA SUR,TABASCO,TABASCO,COMALCALCO,ACUÍFERO LA CHONTALPA,SUBTERRÁNEO,POZO,18.25555,-93.30885
DLTAB2469,LAGUNA DE MECOACAN 1,CAXCUCHAPA,,,FRONTERA SUR,TABASCO,TABASCO,PARAÍSO,LAGUNA DE MECOACAN,COSTERO (HUMEDAL),LAGUNA,18.40822,-93.16325
DLTAB2470,BELLOTE,CAXCUCHAPA,,,FRONTERA SUR,TABASCO,TABASCO,PARAÍSO,RIO SECO,COSTERO,LAGUNA,18.43403,-93.16389
DLTAB2471,EL PUENTE,CAXCUCHAPA,,,FRONTERA SUR,TABASCO,TABASCO,PARAÍSO,LAGUNA DE MECOACAN,COSTERO (HUMEDAL),LAGUNA,18.42002,-93.14655
DLTAB2472,LAGUNA DE MECOACAN 3,EL CARRIZAL,,,FRONTERA SUR,TABASCO,TABASCO,PARAÍSO,LAGUNA DE MECOACAN,COSTERO (HUMEDAL),LAGUNA,18.4353,-93.13093
DLTAB2473,PUERTO CHILTEPEC,EL CARRIZAL,,,FRONTERA SUR,TABASCO,TABASCO,PARAÍSO,GOLFO DE MEXICO,COSTERO,OCÉANO-MAR,18.4429,-93.10429
DLTAB2474,DESEMBOCADURA RIO GONZALEZ,EL CARRIZAL,,,FRONTERA SUR,TABASCO,TABASCO,CENTLA,DESEMBOCADURA RIO GONZALEZ,LÓTICO - COSTERO (HUMEDAL),OCÉANO-MAR,18.44103,-93.09008
DLTAB2475,RIO GONZALEZ 10,EL CARRIZAL,,,FRONTERA SUR,TABASCO,TABASCO,PARAÍSO,RIO GONZALEZ,LÓTICO (HUMEDAL),RÍO,18.4243,-93.06742
DLTAB2476,LAGUNA DE MECOACAN 4,EL CARRIZAL,,,FRONTERA SUR,TABASCO,TABASCO,PARAÍSO,LAGUNA DE MECOACAN,COSTERO (HUMEDAL),LAGUNA,18.384,-93.0674
